Sample,C3,C4,C5,C6,C7,C8,PFOS,C3MDL,C4MDL,C5MDL,C6MDL,C7MDL,C8MDL,PFOSMDL,Units,Citation,config,C3err,C4err,C5err,C6err,C7err,C8err,PFOSerr
QRTRIB01_20181020,0.0359,0.049,0.114,0.0244,0.0077,,0.1418,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MPSC_20190214,0.0606,0.0591,0.3673,0.0032,0.0072,,0.1482,0.0008,0.0001,0.0003,0.0001,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
JPNB_20190214,0.0252,0.0207,0.0744,0.0006,0,,0.1424,0.0008,0.0001,0.0003,0.0001,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR09_20190214,0.0085,0.0158,0.0541,0.0043,0.0004,,0.0991,0.0008,0.0001,0.0003,0.0001,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR09_20190409,0.013,0.0139,0.0449,0.0016,0.0006,,0.0911,0.0053,0.0023,0.0009,0.0002,0.0001,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FPBC_20190409,0.1603,0.1999,0.4902,0.0495,0.0304,,0.5327,0.0053,0.0023,0.0009,0.0002,0.0001,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MDPWC_20190409,0,0,0.0127,0,0,,0.0336,0.0053,0.0023,0.0009,0.0002,0.0001,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MC01_20190409,0.0444,0.0567,0.0673,0.006,0.0012,,0.0622,0.0053,0.0023,0.0009,0.0002,0.0001,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR01_20170815,0,0.009,0.0638,0.0022,0.0131,,0.1339,0.0085,0.0025,0.0015,0.0006,0.0006,,0.0004,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR03_20170815,0,0.0351,0.13,0.0118,0.0096,,0.2287,0.0085,0.0025,0.0015,0.0006,0.0006,,0.0004,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
